disc_year,hostname,pl_dens,pl_letter,pl_massj,pl_orbper,pl_orbsmax,pl_radj,st_lum,st_rad,st_spectype,sy_bmag,sy_dist,sy_vmag
2012,"OGLE-2012-BLG-0026L",,"b",0.14500,,4.000000,,,,,,4019.0000000,20.6600000
2016,"Kepler-887",,"b",,20.42228798,,0.164,,1.29,,14.2500000,886.5880000,13.5200000
2014,"Kepler-344",,"b",,21.96394500,0.153000,0.233,,0.98,,16.3370000,1002.9400000,15.5390000
2013,"ROXs 42 B",,"b",9.00000,,157.000000,,,,"M0",16.0650000,143.5900000,14.6610000
2016,"Kepler-1078",,"b",,3.00725242,,0.170,,0.92,,16.4870000,2481.7100000,15.7030000
2014,"Kepler-182",,"c",,20.68434200,0.157000,0.306,,1.15,,15.4090000,1549.0900000,14.9420000
2016,"Kepler-1632",,"b",,448.30355800,,0.220,,1.19,,13.8750000,716.7600000,13.2200000
2023,"Kepler-1859",,"c",,3.59645081,0.047300,,,1.24,,15.9900000,1331.2500000,15.1780000
2023,"Kepler-1471",,"c",,11.60448810,0.098100,,,1.17,,16.1180000,978.6780000,15.4210000
2016,"Kepler-708",,"b",,3.16789194,,0.261,,0.96,,16.4270000,1394.2200000,15.6100000
2016,"Kepler-1082",,"b",,1.54320660,,0.100,,1.14,,13.7450000,739.5570000,13.4440000
2016,"Kepler-973",,"b",,49.60773310,,0.175,,0.78,,14.2790000,328.5200000,13.4780000
2016,"Kepler-895",,"b",,2.80624233,,0.137,,0.61,,18.1360000,540.1340000,16.2100000
2016,"Kepler-1059",,"b",,3.76419105,,0.154,,0.72,,16.2360000,713.1670000,15.7850000
2016,"Kepler-1196",,"b",,66.18490310,,0.199,,0.97,,15.8110000,922.3330000,15.0090000
2024,"TOI-5005",0.74000,"b",0.10300,6.30850440,0.066140,0.558,,0.93,"G2 V",12.5640000,207.8910000,11.8670000
2016,"Kepler-1487",,"b",,7.31946363,,0.190,,1.63,,14.0870000,1014.6200000,13.6000000
2014,"Kepler-221",,"c",,5.69058600,0.059000,0.261,,0.82,,14.8530000,385.2310000,13.9700000
2014,"Kepler-258",,"b",,13.19722000,0.103000,0.362,,0.92,,16.7370000,575.9880000,15.4900000
2016,"Kepler-502",,"b",,4.28686431,,0.426,,1.22,,15.8770000,1591.0400000,15.1360000
2023,"Kepler-1834",,"c",,0.76669152,0.015000,,,0.79,,15.7940000,500.3950000,15.1800000
2016,"Kepler-740",,"b",,3.58410122,,0.408,,0.87,,16.9530000,1442.0200000,16.0220000
2016,"Kepler-504",,"b",,9.54927542,,0.142,,0.33,,16.8440000,99.0688000,15.1430000
2014,"Kepler-240",,"c",,7.95352800,0.074000,0.196,,0.74,,16.9940000,746.9270000,15.9530000
2016,"Kepler-657",,"b",,24.54350418,,0.314,,1.01,,15.8780000,1691.8800000,15.4040000
2016,"Kepler-622",,"b",,14.28226676,,0.190,,0.61,,16.4540000,284.7610000,15.0520000
2016,"Kepler-638",,"b",,6.07972888,,0.163,,0.93,,14.5490000,991.2140000,13.6580000
